university,week,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,week_id,closure_1,closure_1_end,closure_2,closure_2_end,university_enacted_1,university_enacted_2,reason1,reason2,treatment_percent,year,unit_id,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91,total_students_all,total_black_all,total_asian_all,total_women_all,total_men_all,total_undergrad_men,total_undergrad_women,total_undergrad_black,total_undergrad_asian,total_undergrad_hispanic,total_undergrad_white_men,total_undergrad_white_women,total_white_all,ftime_total_undergrad,ftime_total_undergrad_men,ftime_total_undergrad_women,total_students_undergrad,month,ihs_sexual_assault,ihs_alcohol_offense,ihs_theft,ihs_robbery_burglary,ihs_drug_offense,uni_month,sexual_assault_per100,alcohol_offense_per100,theft_per100,robbery_burglary_per100,drug_offense_per100,uni_year
Arkansas State University-Main Campus,2014-03-17,0,1,0,0,0,1,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,3,0,0.8813735870195429,0,0,0,3,0,7.608034083992696,0,0,0,2
Arkansas State University-Main Campus,2014-03-24,0,1,0,0,0,1,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,3,0,0.8813735870195429,0,0,0,3,0,7.608034083992696,0,0,0,2
Arkansas State University-Main Campus,2014-03-31,0,2,0,0,1,2,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,3,0,1.4436354751788103,0,0.8813735870195429,0,3,0,15.216068167985393,0,7.608034083992696,0,2
Arkansas State University-Main Campus,2014-04-07,0,4,0,0,0,4,1,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,4,0,2.0947125472611012,0,0,0,4,0,30.432136335970785,0,0,0,2
Arkansas State University-Main Campus,2014-04-14,0,5,1,0,1,5,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,4,0,2.3124383412727525,0,0.8813735870195429,0.8813735870195429,4,0,38.04017041996348,0,7.608034083992696,7.608034083992696,2
Arkansas State University-Main Campus,2014-04-21,0,4,2,1,1,4,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,4,0,2.0947125472611012,0.8813735870195429,0.8813735870195429,1.4436354751788103,4,0,30.432136335970785,7.608034083992696,7.608034083992696,15.216068167985393,2
Arkansas State University-Main Campus,2014-04-28,0,0,1,3,1,0,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,4,0,0,1.8184464592320668,0.8813735870195429,0.8813735870195429,4,0,0,22.82410225197809,7.608034083992696,7.608034083992696,2
Arkansas State University-Main Campus,2014-05-05,1,1,0,1,2,1,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,5,0.8813735870195429,0.8813735870195429,0.8813735870195429,1.4436354751788103,0,5,7.608034083992696,7.608034083992696,7.608034083992696,15.216068167985393,0,2
Arkansas State University-Main Campus,2014-05-12,0,2,0,2,0,2,1,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,5,0,1.4436354751788103,1.4436354751788103,0,0,5,0,15.216068167985393,15.216068167985393,0,0,2
Arkansas State University-Main Campus,2014-05-19,0,0,0,0,1,0,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,5,0,0,0,0.8813735870195429,0,5,0,0,0,7.608034083992696,0,2
Arkansas State University-Main Campus,2014-05-26,0,1,1,0,0,1,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,5,0,0.8813735870195429,0,0,0.8813735870195429,5,0,7.608034083992696,0,0,7.608034083992696,2
Arkansas State University-Main Campus,2014-09-01,0,5,2,2,2,5,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,9,0,2.3124383412727525,1.4436354751788103,1.4436354751788103,1.4436354751788103,6,0,38.04017041996348,15.216068167985393,15.216068167985393,15.216068167985393,2
Arkansas State University-Main Campus,2014-09-08,0,2,0,0,0,2,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,9,0,1.4436354751788103,0,0,0,6,0,15.216068167985393,0,0,0,2
Arkansas State University-Main Campus,2014-09-15,0,4,0,0,2,4,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,9,0,2.0947125472611012,0,1.4436354751788103,0,6,0,30.432136335970785,0,15.216068167985393,0,2
Arkansas State University-Main Campus,2014-09-22,0,1,1,0,0,1,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,9,0,0.8813735870195429,0,0,0.8813735870195429,6,0,7.608034083992696,0,0,7.608034083992696,2
Arkansas State University-Main Campus,2014-09-29,0,2,0,0,1,2,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,9,0,1.4436354751788103,0,0.8813735870195429,0,6,0,15.216068167985393,0,7.608034083992696,0,2
Arkansas State University-Main Campus,2014-10-06,0,2,1,0,0,2,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,10,0,1.4436354751788103,0,0,0.8813735870195429,7,0,15.216068167985393,0,0,7.608034083992696,2
Arkansas State University-Main Campus,2014-10-13,0,2,1,2,1,2,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,10,0,1.4436354751788103,1.4436354751788103,0.8813735870195429,0.8813735870195429,7,0,15.216068167985393,15.216068167985393,7.608034083992696,7.608034083992696,2
Arkansas State University-Main Campus,2014-10-20,0,3,3,0,0,3,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,10,0,1.8184464592320668,0,0,1.8184464592320668,7,0,22.82410225197809,0,0,22.82410225197809,2
Arkansas State University-Main Campus,2014-10-27,0,4,0,1,1,4,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,10,0,2.0947125472611012,0.8813735870195429,0.8813735870195429,0,7,0,30.432136335970785,7.608034083992696,7.608034083992696,0,2
Arkansas State University-Main Campus,2014-11-03,0,6,2,1,1,6,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,11,0,2.4917798526449118,0.8813735870195429,0.8813735870195429,1.4436354751788103,8,0,45.64820450395618,7.608034083992696,7.608034083992696,15.216068167985393,2
Arkansas State University-Main Campus,2014-11-10,0,3,1,1,1,3,1,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,11,0,1.8184464592320668,0.8813735870195429,0.8813735870195429,0.8813735870195429,8,0,22.82410225197809,7.608034083992696,7.608034083992696,7.608034083992696,2
Arkansas State University-Main Campus,2014-11-17,0,1,1,1,0,1,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,11,0,0.8813735870195429,0.8813735870195429,0,0.8813735870195429,8,0,7.608034083992696,7.608034083992696,0,7.608034083992696,2
Arkansas State University-Main Campus,2014-11-24,0,2,0,1,1,2,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,11,0,1.4436354751788103,0.8813735870195429,0.8813735870195429,0,8,0,15.216068167985393,7.608034083992696,7.608034083992696,0,2
Arkansas State University-Main Campus,2014-12-01,0,0,1,0,0,0,0,0,Mon,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,0,2014,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,12,0,0,0,0,0.8813735870195429,9,0,0,0,0,7.608034083992696,2
